,roundId,roundNumber,roundTimeMillis,killId,tradedByKillId,tradedForKillId,bombId,resId,playerId,assists,referencePlayerId,eventType,damageType,weapon,impact,attackingWinProbabilityBefore,attackingWinProbabilityAfter,attackingTeamId,matchId
1789,1231281,6,97965,9983721,,,,,2359,[],452,kill,weapon,Vandal,0.700585717,0.774126176,0.073540459,286,79010
1946,1231281,6,97965,9983721,,,,,2359,[],452,kill,weapon,Vandal,0.700585717,0.774126176,0.073540459,286,79011
4810,1226573,12,57926,9950102,,,,,217,"[{'assistId': 3622372, 'assistantId': 1919, 'damage': 80}]",2716,kill,weapon,Vandal,0.653628244,0.680675063,0.027046819,6426,77106
5107,1226573,12,57926,9950102,,,,,217,"[{'assistId': 3622372, 'assistantId': 1919, 'damage': 80}]",2716,kill,weapon,Vandal,0.653628244,0.680675063,0.027046819,6426,77107
5404,1226573,12,57926,9950102,,,,,217,"[{'assistId': 3622372, 'assistantId': 1919, 'damage': 80}]",2716,kill,weapon,Vandal,0.653628244,0.680675063,0.027046819,6426,77108
4838,1226576,15,107004,9950123,,,,,2716,[],1919,kill,weapon,Vandal,0.648125134,0.767164264,0.11903913,15,77106
5135,1226576,15,107004,9950123,,,,,2716,[],1919,kill,weapon,Vandal,0.648125134,0.767164264,0.11903913,15,77107
5432,1226576,15,107004,9950123,,,,,2716,[],1919,kill,weapon,Vandal,0.648125134,0.767164264,0.11903913,15,77108
4340,1229119,29,116352,9968358,,9968361,,,2354,[],1550,kill,weapon,Vandal,0.63237401,0.651238152,0.018864141,286,78837
4658,1229119,29,116352,9968358,,9968361,,,2354,[],1550,kill,weapon,Vandal,0.63237401,0.651238152,0.018864141,286,78838
4368,1229122,32,81855,9968382,,,,,2354,[],1251,kill,weapon,Phantom,0.623646364,0.361385012,0.985031375,305,78837
4686,1229122,32,81855,9968382,,,,,2354,[],1251,kill,weapon,Phantom,0.623646364,0.361385012,0.985031375,305,78838
2086,1231386,5,88595,9984468,,9984462,,,10211,"[{'assistId': 3635861, 'assistantId': 2056, 'damage': 0}]",2483,kill,weapon,Operator,0.595935851,0.621679379,0.025743528,6426,79016
2267,1231386,5,88595,9984468,,9984462,,,10211,"[{'assistId': 3635861, 'assistantId': 2056, 'damage': 0}]",2483,kill,weapon,Operator,0.595935851,0.621679379,0.025743528,6426,79017
2448,1231386,5,88595,9984468,,9984462,,,10211,"[{'assistId': 3635861, 'assistantId': 2056, 'damage': 0}]",2483,kill,weapon,Operator,0.595935851,0.621679379,0.025743528,6426,79018
2231,1231401,20,42453,9984585,,,,,750,"[{'assistId': 3635906, 'assistantId': 1690, 'damage': 120}]",2716,kill,weapon,Vandal,0.584273741,0.415726259,1,224,79016
2412,1231401,20,42453,9984585,,,,,750,"[{'assistId': 3635906, 'assistantId': 1690, 'damage': 120}]",2716,kill,weapon,Vandal,0.584273741,0.415726259,1,224,79017
